spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
2,281,0.0434,13,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,14,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,15,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,16,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,17,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,18,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,19,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,20,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,21,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,22,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,23,2,28409,240988,240988,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,24,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,25,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,26,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,27,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,28,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,29,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,30,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,31,3,9192,23817,23817,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,32,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,33,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,34,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,35,4,34065,85539,85539,wandb/run-20260630_155831-2gcw0mpa/files/output.log
